,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
186,HAZH,Haz Holdings Inc,0.006,False,2009.0,,24-Dec,9-Mar,7.0,7.0,4.0,4.0,24-Dec,9-Mar,33.69432369,8-Jun,7-Aug,5.0,6.0,5.0,6.0,8-Jun,7-Aug,21.20875103,1-Nov,16-Dec,4.0,7.0,4.0,7.0,1-Nov,16-Dec,13.11351323,8-Jul,7-Aug,2.0,8.0,2.0,8.0,8-Jul,7-Aug,17.28018039,22-Jul,6-Aug,1.0,9.0,1.0,9.0,22-Jul,6-Aug,8.599624956
187,HAYPF,Hays PLC,1.4500000480000002,False,2010.0,,27-Aug,10-Nov,7.0,5.0,3.0,5.0,24-Nov,7-Feb,7.416533635,6-Sep,5-Nov,5.0,5.0,5.0,5.0,9-Dec,7-Feb,7.228307905,18-Sep,2-Nov,4.0,6.0,4.0,6.0,13-Dec,27-Jan,5.882546157999999,1-Oct,31-Oct,4.0,6.0,4.0,6.0,1-Mar,31-Mar,-1.854953087,2-Oct,17-Oct,3.0,7.0,3.0,7.0,16-Dec,31-Dec,3.455314708
188,HAYN,Haynes International Inc,20.95000076,False,2009.0,,19-Jan,3-Apr,6.0,6.0,5.0,5.0,19-Jan,3-Apr,4.214855713,30-Jan,30-Mar,5.0,6.0,5.0,6.0,30-Jan,30-Mar,5.849892633,25-Oct,9-Dec,5.0,6.0,5.0,6.0,14-Mar,28-Apr,6.601873299999999,12-Mar,11-Apr,4.0,7.0,4.0,7.0,12-Mar,11-Apr,3.5631027680000003,22-Jan,6-Feb,6.0,5.0,6.0,5.0,22-Jan,6-Feb,4.003294505
189,HWBK,Hawthorn Bancshares Inc,20.61000061,False,2009.0,,4-Sep,18-Nov,7.0,7.0,4.0,4.0,23-Aug,6-Nov,0.44074759700000005,30-Mar,29-May,7.0,4.0,7.0,4.0,30-Mar,29-May,3.6089488810000003,15-Mar,29-Apr,8.0,3.0,8.0,3.0,15-Mar,29-Apr,4.044906096,21-Aug,20-Sep,8.0,3.0,8.0,3.0,21-Aug,20-Sep,3.5678493330000003,5-Sep,20-Sep,8.0,3.0,8.0,3.0,5-Sep,20-Sep,3.0453042189999997
190,HWKN,Hawkins Inc,52.18999863,False,2009.0,,7-Apr,21-Jun,3.0,3.0,8.0,8.0,7-Apr,21-Jun,6.476425265,2-Oct,1-Dec,3.0,8.0,3.0,8.0,2-Oct,1-Dec,6.063054134,9-Nov,24-Dec,2.0,9.0,2.0,9.0,9-Nov,24-Dec,4.921456772,22-May,21-Jun,4.0,7.0,4.0,7.0,22-May,21-Jun,3.8606997260000004,15-Mar,30-Mar,4.0,7.0,4.0,7.0,6-Sep,21-Sep,3.124817544
191,NNUTU,Hawaiian Macadamia Nut Orchards LP,4150.0,False,2009.0,,26-May,9-Aug,4.0,4.0,6.0,6.0,26-May,9-Aug,3.7798406289999997,10-Jun,9-Aug,4.0,6.0,4.0,6.0,10-Jun,9-Aug,2.9497762880000002,14-May,28-Jun,4.0,6.0,4.0,6.0,14-May,28-Jun,2.801663731,29-May,28-Jun,3.0,7.0,3.0,7.0,29-May,28-Jun,3.201104843,18-Mar,2-Apr,4.0,6.0,4.0,6.0,18-Mar,2-Apr,1.098799591
192,HA,Hawaiian Holdings Inc,19.38999939,False,2009.0,,20-Sep,4-Dec,4.0,4.0,7.0,7.0,22-Sep,6-Dec,14.73015683,5-Oct,4-Dec,4.0,7.0,4.0,7.0,5-Oct,4-Dec,16.71087182,25-Oct,9-Dec,4.0,7.0,4.0,7.0,25-Oct,9-Dec,11.0871094,4-Nov,4-Dec,4.0,7.0,4.0,7.0,4-Nov,4-Dec,10.05908659,31-Oct,15-Nov,7.0,4.0,7.0,4.0,31-Oct,15-Nov,4.873183292
193,HE,Hawaiian Electric Industries Inc,37.36000061,False,2009.0,,21-Oct,4-Jan,6.0,5.0,5.0,6.0,6-Oct,20-Dec,6.020469235,21-Oct,20-Dec,8.0,3.0,6.0,5.0,10-Sep,9-Nov,3.9182243260000003,5-Nov,20-Dec,8.0,3.0,8.0,3.0,21-Mar,5-May,2.666315236,12-Nov,12-Dec,5.0,6.0,5.0,6.0,1-Apr,1-May,2.167424352,7-Mar,22-Mar,5.0,6.0,5.0,6.0,7-Mar,22-Mar,4.176419771
194,HAWPF,Haw Par Corp Ltd,7.159999847000001,False,2009.0,,26-Feb,11-May,6.0,6.0,5.0,5.0,26-Feb,11-May,6.852447014,22-Mar,21-May,6.0,5.0,6.0,5.0,11-Mar,10-May,6.816238068,4-Apr,19-May,6.0,5.0,6.0,5.0,18-Mar,2-May,5.077293207,16-Mar,15-Apr,5.0,6.0,5.0,6.0,16-Mar,15-Apr,3.6388664719999997,22-Apr,7-May,5.0,6.0,5.0,6.0,22-Apr,7-May,2.3421113609999997
195,HVT,Haverty Furniture Companies Inc,30.34000015,False,2009.0,,22-Sep,6-Dec,5.0,5.0,6.0,6.0,22-Sep,6-Dec,8.427262093,7-Oct,6-Dec,5.0,6.0,5.0,6.0,1-Oct,30-Nov,7.584172417,17-Oct,1-Dec,5.0,6.0,5.0,6.0,17-Oct,1-Dec,5.930539088,2-Nov,2-Dec,5.0,6.0,5.0,6.0,2-Nov,2-Dec,5.188835541,31-Jul,15-Aug,4.0,7.0,4.0,7.0,31-Jul,15-Aug,6.281160202000001
