symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
RTNB,root9B Holdings Inc,0.050000001,FALSE,2009,,26-Mar,9-Jun,3,3,8,8,26-Mar,9-Jun,10.10807466,5-Apr,4-Jun,3,8,3,8,5-Apr,4-Jun,7.801599277,20-Apr,4-Jun,2,9,2,9,20-Apr,4-Jun,5.891113128,5-May,4-Jun,2,9,2,9,5-May,4-Jun,11.41255578,10-May,25-May,4,7,4,7,10-May,25-May,8.196072575
RSAU,Rooshine Inc,0.0064,FALSE,2009,,18-Oct,1-Jan,7,7,4,4,18-Oct,1-Jan,16.87840932,5-Dec,3-Feb,5,6,5,6,5-Dec,3-Feb,26.44174402,20-Dec,3-Feb,6,5,6,5,20-Dec,3-Feb,20.42185471,20-Oct,19-Nov,4,7,4,7,20-Oct,19-Nov,19.9443537,13-Jan,28-Jan,1,10,1,10,13-Jan,28-Jan,15.14610207
RMIOF,Romios Gold Resources Inc,0.0363,FALSE,2009,,2-Jul,15-Sep,6,6,5,5,2-Jul,15-Sep,21.13328729,2-Jul,31-Aug,3,8,3,8,2-Jul,31-Aug,10.8000337,16-Mar,30-Apr,3,8,3,8,16-Mar,30-Apr,13.74883473,9-Aug,8-Sep,4,7,4,7,9-Aug,8-Sep,6.707320365,8-Mar,23-Mar,3,8,3,8,8-Mar,23-Mar,9.24603205
RYCEY,Rolls-Royce Holdings PLC,3.164999962,FALSE,2009,,13-Feb,28-Apr,8,8,3,3,3-Dec,16-Feb,2.299951068,2-Mar,1-May,9,2,9,2,2-Mar,1-May,-0.28525929,2-Mar,16-Apr,8,3,8,3,2-Mar,16-Apr,-2.097152452,4-Apr,4-May,5,6,5,6,24-Mar,23-Apr,2.765255321,18-Apr,3-May,3,8,3,8,2-Feb,17-Feb,2.586146472
RYCEF,Rolls-Royce Holdings PLC,1.332999945,FALSE,2009,,13-Feb,28-Apr,8,8,3,3,13-Feb,28-Apr,-4.677896066,3-Mar,2-May,9,2,9,2,1-Mar,30-Apr,-3.283898455,3-Jan,17-Feb,7,4,7,4,3-Jan,17-Feb,3.953565466,5-Apr,5-May,8,3,8,3,5-Apr,5-May,3.392694205,11-Jul,26-Jul,4,7,4,7,11-Jul,26-Jul,2.781553744
ROL,Rollins Inc,57.84000015,FALSE,2009,,24-Jun,7-Sep,8,8,3,3,7-May,21-Jul,6.125976175,22-Jan,22-Mar,8,3,8,3,22-Jan,22-Mar,4.219200075,14-Jan,28-Feb,7,4,6,5,6-Jan,20-Feb,4.081297353,19-Jan,18-Feb,8,3,8,3,23-May,22-Jun,3.28738083,22-May,6-Jun,5,6,5,6,22-May,6-Jun,3.555301348
ROHCY,Rohm Co Ltd,41.45999908,FALSE,2009,,27-Aug,10-Nov,6,6,5,5,28-Oct,11-Jan,4.612564581,7-Oct,6-Dec,8,3,8,3,7-Oct,6-Dec,3.114458198,26-Mar,10-May,7,4,7,4,26-Mar,10-May,4.925328034,8-Apr,8-May,9,2,9,2,8-Apr,8-May,4.546279126,10-Apr,25-Apr,9,2,9,2,10-Apr,25-Apr,3.228456756
GCRIF,Rogue Resources Inc,0.07,FALSE,2010,,21-Oct,4-Jan,2,2,8,8,21-Oct,4-Jan,7.490212647,20-Oct,19-Dec,5,5,5,5,20-Oct,19-Dec,9.60429344,20-Oct,4-Dec,4,6,4,6,20-Oct,4-Dec,15.22166519,28-Dec,27-Jan,3,7,3,7,28-Dec,27-Jan,8.97728569,1-Mar,16-Mar,3,7,3,7,1-Mar,16-Mar,9.545454783
RSGUF,Rogers Sugar Inc,3.75,FALSE,2010,,22-May,5-Aug,5,5,5,5,22-May,5-Aug,3.033064471,22-May,21-Jul,5,5,5,5,23-Nov,22-Jan,2.759028008,20-Nov,4-Jan,6,4,6,4,7-Aug,21-Sep,1.208130524,13-Dec,12-Jan,6,4,6,4,25-May,24-Jun,1.885404953,20-Dec,4-Jan,5,5,5,5,21-Jul,5-Aug,2.126338761
ROG,Rogers Corp,141.5549927,FALSE,2009,,20-May,3-Aug,6,6,5,5,20-May,3-Aug,7.344597328,7-Oct,6-Dec,5,6,5,6,7-Oct,6-Dec,8.555831915,30-Mar,14-May,4,7,4,7,30-Mar,14-May,4.579708803,23-May,22-Jun,7,4,7,4,23-May,22-Jun,4.847429142,22-May,6-Jun,5,6,5,6,22-May,6-Jun,4.637967144
RCI,Rogers Communications Inc,45.59999847,FALSE,2009,,29-Jun,12-Sep,7,7,4,4,27-Jun,10-Sep,4.54408063,20-May,19-Jul,6,5,6,5,14-Mar,13-May,2.775407393,7-Mar,21-Apr,6,5,6,5,7-Jul,21-Aug,3.957155668,10-Mar,9-Apr,7,4,7,4,10-Mar,9-Apr,2.554863911,11-Jul,26-Jul,5,6,5,6,11-Jul,26-Jul,3.121100068
RCKXF,Rocky Mountain Dealerships Inc,5.369999886,FALSE,2009,,23-Nov,6-Feb,7,7,4,4,17-Dec,2-Mar,4.251583681,4-Oct,3-Dec,8,3,8,3,28-Aug,27-Oct,1.843252643,7-Dec,21-Jan,7,4,7,4,7-Dec,21-Jan,5.167728047,20-Dec,19-Jan,6,5,6,5,20-Dec,19-Jan,5.530275459,26-Dec,10-Jan,9,2,9,2,26-Dec,10-Jan,3.799719859
RMCF,Rocky Mountain Chocolate Factory Inc,3.67050004,FALSE,2009,,13-Dec,26-Feb,9,9,2,2,11-Nov,25-Jan,5.620011853,11-Nov,10-Jan,9,2,9,2,2-Jan,2-Mar,5.219918508,11-Dec,25-Jan,8,3,8,3,11-Dec,25-Jan,4.401449598,20-Mar,19-Apr,8,3,8,3,20-Mar,19-Apr,2.325042689,13-Nov,28-Nov,7,4,7,4,11-Nov,26-Nov,4.096185905
RCKY,Rocky Brands Inc,30.43000031,FALSE,2009,,10-Dec,23-Feb,8,8,3,3,10-Dec,23-Feb,11.05273801,22-Jun,21-Aug,6,5,6,5,22-Jun,21-Aug,6.455186017,22-Mar,6-May,7,4,7,4,22-Mar,6-May,9.633532156,1-Apr,1-May,8,3,8,3,1-Apr,1-May,6.449403637,29-Mar,13-Apr,6,5,6,5,29-Mar,13-Apr,3.41708182
RMTI,Rockwell Medical Inc,0.968400002,FALSE,2009,,7-Apr,21-Jun,6,6,5,5,7-Apr,21-Jun,4.701014297,13-Apr,12-Jun,7,4,7,4,13-Apr,12-Jun,8.17957972,8-May,22-Jun,6,5,6,5,8-May,22-Jun,2.420203287,13-May,12-Jun,5,6,5,6,13-May,12-Jun,5.326296082,4-Feb,19-Feb,5,6,5,6,4-Feb,19-Feb,4.938177497
ROK,Rockwell Automation Inc,245.9049988,FALSE,2009,,26-Aug,9-Nov,9,9,2,2,26-Aug,9-Nov,9.427283117,1-Oct,30-Nov,9,2,9,2,1-Oct,30-Nov,8.16061179,20-Oct,4-Dec,8,3,8,3,20-Oct,4-Dec,6.842043941,10-Oct,9-Nov,7,4,7,4,10-Oct,9-Nov,6.751513626,27-Oct,11-Nov,8,3,8,3,25-Oct,9-Nov,4.759601648
RCKHF,Rockhopper Exploration PLC,0.079999998,FALSE,2010,,1-Nov,15-Jan,5,5,5,5,1-Nov,15-Jan,-0.907097453,4-Dec,2-Feb,6,4,6,4,4-Dec,2-Feb,7.292287289,15-Dec,29-Jan,6,4,6,4,15-Dec,29-Jan,11.31264116,15-Dec,14-Jan,7,3,7,3,15-Dec,14-Jan,10.98987436,5-Apr,20-Apr,7,3,7,3,5-Apr,20-Apr,7.201613331
ROFO,Rockford Corp,9.850000381,FALSE,2009,,26-Jun,9-Sep,7,7,4,4,28-Jun,11-Sep,8.947624424,10-Jul,8-Sep,6,5,6,5,10-Jul,8-Sep,11.3207277,10-Jul,24-Aug,7,4,7,4,10-Jul,24-Aug,11.87395118,22-Jul,21-Aug,5,6,5,6,1-Jul,31-Jul,2.39023033,21-Jul,5-Aug,5,6,5,6,13-Jul,28-Jul,5.738343801
RKFL,RocketFuel Blockchain Inc,1.899999976,FALSE,2009,,21-Jul,4-Oct,5,5,6,6,21-Jul,4-Oct,2.319565849,14-Sep,13-Nov,4,7,4,7,14-Sep,13-Nov,29.11069747,19-Sep,3-Nov,4,7,4,7,19-Sep,3-Nov,24.77847109,19-Sep,19-Oct,2,9,2,9,19-Sep,19-Oct,21.02615326,14-Sep,29-Sep,1,10,1,10,14-Sep,29-Sep,22.91667735
RCKTF,Rock Tech Lithium Inc,0.691100001,FALSE,2009,,11-Aug,25-Oct,4,4,7,7,11-Aug,25-Oct,12.70440274,10-Aug,9-Oct,4,7,4,7,10-Aug,9-Oct,13.18320391,25-Aug,9-Oct,4,7,4,7,25-Aug,9-Oct,11.52829792,26-Aug,25-Sep,3,8,3,8,26-Aug,25-Sep,13.30057367,15-Jun,30-Jun,3,7,3,7,15-Jun,30-Jun,-10.353567
RRRI,Rock Ridge Resources Inc,0.073100001,FALSE,2009,,14-Oct,28-Dec,5,5,6,6,14-Oct,28-Dec,18.01365274,14-Oct,13-Dec,6,5,6,5,14-Oct,13-Dec,12.86137141,20-Oct,4-Dec,6,5,6,5,20-Oct,4-Dec,19.06391162,1-Oct,31-Oct,5,6,5,6,1-Oct,31-Oct,11.89375141,7-Jan,22-Jan,5,6,5,6,7-Jan,22-Jan,23.11984471
RHHVF,Roche Holding AG,336.0828857,FALSE,2009,,7-Feb,22-Apr,7,4,4,7,26-Oct,9-Jan,3.889041528,5-Feb,5-Apr,8,3,8,3,11-Nov,10-Jan,3.234641375,7-Feb,23-Mar,6,5,6,5,24-Nov,8-Jan,2.834574168,2-Mar,1-Apr,8,3,8,3,5-Feb,6-Mar,2.169750644,10-Feb,25-Feb,7,4,7,4,10-Feb,25-Feb,1.938789156
RHHBY,Roche Holding AG,41.74000168,FALSE,2009,,7-Feb,22-Apr,7,4,4,7,7-Nov,21-Jan,4.357398714,6-Feb,6-Apr,7,4,7,4,8-Nov,7-Jan,2.885570184,7-Feb,23-Mar,6,5,6,5,27-Nov,11-Jan,2.835064836,5-Feb,6-Mar,8,3,8,3,10-Nov,10-Dec,1.685203176,7-Feb,22-Feb,7,4,7,4,7-Feb,22-Feb,2.202733548
