,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
02-10,0.29025569558143616,0.681273341178894,0.9604020714759827,,1.5752772092819214,1.5256550312042236,0.9757547974586487,2.1098461151123047,,,2.7709810733795166
02-11,0.3039471209049225,0.688425600528717,,1.420345664024353,1.5801695585250854,1.5256550312042236,0.9423004388809204,,,1.5846964120864868,2.7610135078430176
02-12,0.31353098154067993,,,1.4277626276016235,1.5752772092819214,1.5256550312042236,1.0203609466552734,,2.274160861968994,1.5240060091018677,2.860689163208008
02-13,,,0.9780781269073486,1.4277626276016235,1.5998913049697876,1.6678307056427002,,2.150033473968506,2.300994634628296,1.5240060091018677,2.890591859817505
02-14,,0.7098832130432129,0.9721865057945251,1.4314708709716797,1.649118423461914,,,2.1701271533966064,2.3546619415283203,1.5240060091018677,2.890591859817505
02-15,,0.7447002530097961,0.9338880777359009,1.4314708709716797,,,,2.1701271533966064,2.4150378704071045,1.5240060091018677,
02-16,0.3231149911880493,0.7563061118125916,0.9545101523399353,,,,1.0593907833099365,2.1701271533966064,2.4150378704071045,,
02-17,0.32448410987854004,0.7601746916770935,0.9309420585632324,,,1.6678307056427002,1.1318756341934204,2.0964503288269043,,,
02-18,0.32996052503585815,0.7582403421401978,,,1.6245046854019165,1.6678307056427002,1.1374515295028687,,,,2.7410783767700195
02-19,0.3368062973022461,,,1.4611388444900513,1.5752772092819214,1.6678307056427002,1.1374515295028687,,,1.6319003105163574,2.6812732219696045
02-20,,,,1.4611388444900513,1.5358954668045044,1.700640320777893,,,2.2875776290893555,1.6656173467636108,2.6513705253601074
02-21,,,0.9397804141044617,1.4351787567138672,1.5605088472366333,,,2.190221071243286,2.381495714187622,1.6521306037902832,2.6214678287506104
02-22,0.3340679109096527,0.7272918820381165,0.9279962182044983,1.4500136375427246,,,1.1374515295028687,2.156731605529785,2.3747873306274414,1.6521306037902832,
02-23,0.3313298523426056,0.7118175625801086,0.9338880777359009,,,1.6951721906661987,1.1318756341934204,2.1634294986724854,2.3747873306274414,,
02-24,0.335437148809433,0.7079488635063171,0.9191579818725586,,1.614659309387207,1.6951721906661987,1.1374515295028687,2.0836992263793945,,,2.591564893722534
02-25,0.32996052503585815,0.7214890122413635,,1.4698765277862549,1.614659309387207,1.6623625755310059,1.1374515295028687,,,1.6858474016189575,2.52179217338562
02-26,0.32996052503585815,,,1.4619312286376953,1.5211271047592163,1.6623625755310059,1.1374515295028687,,2.349945068359375,2.479187250137329,2.481921911239624
02-27,,,0.9162119626998901,1.4619312286376953,1.5309727191925049,1.6897038221359253,,2.0702991485595703,2.349945068359375,2.528770923614502,2.42211651802063
02-28,,0.7369632720947266,0.9427260160446167,1.557274580001831,1.5211271047592163,,,2.0166995525360107,2.289518117904663,2.528770923614502,2.2925384044647217
02-29,,,0.9338880777359009,,,,1.1374515295028687,,,,
03-01,0.335437148809433,0.7272918820381165,0.9309420585632324,1.5771377086639404,,,1.1932088136672974,2.0836992263793945,2.235804796218872,2.528770923614502,
03-02,0.3340679109096527,0.7292261719703674,0.9279962182044983,,,1.6459574699401855,1.2210878133773804,2.110499620437622,2.222376585006714,,2.452019214630127
03-03,0.34091371297836304,0.7466345429420471,,,1.5014361143112183,1.6404893398284912,1.2266632318496704,2.1439993381500244,,,2.392214059829712
03-04,0.3436518609523773,0.7388973832130432,,1.5612469911575317,1.5211271047592163,1.6131477355957031,1.2768449783325195,,,2.528770923614502,2.541727304458618
03-05,0.34502097964286804,,0.9279962182044983,1.5850826501846313,1.565431833267212,1.6131477355957031,,,2.222376585006714,2.4296038150787354,2.3722786903381348
03-06,,,0.8779138922691345,1.5652199983596802,1.565431833267212,1.5420596599578857,,2.123899459838867,2.222376585006714,2.4395205974578857,2.412148952484131
03-07,,0.7137517333030701,0.8779138922691345,1.5890557765960693,1.5063589811325073,,1.2768449783325195,2.103799343109131,2.222376585006714,2.4395205974578857,
03-08,0.3491284251213074,0.7060148119926453,0.9044279456138611,1.5493296384811401,,,1.2378146648406982,2.0836992263793945,2.222376585006714,2.3800199031829834,
03-09,0.37230703234672546,0.7040804624557495,0.9338880777359009,,,1.5420596599578857,1.248966097831726,2.0836992263793945,2.3096604347229004,,2.1131222248077393
03-10,0.37230703234672546,0.6770002245903015,,,1.4669771194458008,1.531123161315918,1.2712689638137817,2.0300991535186768,,,2.063284397125244
03-11,0.3636150360107422,0.6886061429977417,,1.6089187860488892,1.4177495241165161,1.531123161315918,1.293572187423706,,,2.3800199031829834,2.063284397125244
03-12,0.3694096803665161,,0.9368342161178589,1.6327548027038574,1.4374403953552246,1.5858062505722046,,,2.296232223510742,2.528770923614502,2.043349504470825
03-13,,,0.9368342161178589,1.6446722745895386,1.3980586528778076,1.5748695135116577,,2.0300991535186768,2.296232223510742,2.499021053314209,2.063284397125244
03-14,,0.6944088339805603,0.9486182928085327,1.6327548027038574,1.37836754322052,,1.293572187423706,2.0032994747161865,2.296232223510742,2.499021053314209,
03-15,0.36506372690200806,0.6866718530654907,0.9486182928085327,1.6486451625823975,,,1.2879962921142578,2.036799192428589,2.296232223510742,2.499021053314209,
03-16,0.3607178330421448,0.6711975932121277,0.9604020714759827,,,1.5858062505722046,1.3326025009155273,2.0769991874694824,2.2492332458496094,,1.9735764265060425
03-17,0.36216646432876587,0.6770002245903015,,,1.3980586528778076,1.5858062505722046,1.3381781578063965,2.0769991874694824,,,1.8938360214233398
03-18,0.3636150360107422,0.6770002245903015,,1.6486451625823975,1.402981162071228,1.6131477355957031,1.3660566806793213,,,2.657689094543457,1.724387526512146
03-19,0.3636150360107422,,0.9604020714759827,1.5691924095153809,1.402981162071228,1.6186164617538452,,,2.2492332458496094,2.6775224208831787,1.724387526512146
03-20,,,0.9397804141044617,1.6208375692367554,1.4423630237579346,1.6404893398284912,,2.0769991874694824,2.2492332458496094,2.6775224208831787,1.5449713468551636
03-21,,0.6847374439239502,0.9397804141044617,1.5850826501846313,1.4571315050125122,,1.3660566806793213,2.0635993480682373,2.2492332458496094,2.7271060943603516,
03-22,0.3636150360107422,0.6924746632575989,0.9397804141044617,1.5731650590896606,,,1.3827840089797974,2.0836992263793945,2.2492332458496094,2.6378555297851562,
03-23,0.3766530156135559,0.7234233021736145,0.9191579818725586,,,1.6678307056427002,1.3772081136703491,2.1439993381500244,2.2492332458496094,,1.744322657585144
03-24,0.37085843086242676,0.7350290417671204,,,1.4275952577590942,1.684235692024231,1.3493298292160034,2.1506991386413574,,,1.5775786638259888
03-25,0.37085843086242676,0.7214890122413635,,1.541384220123291,1.4620542526245117,1.684235692024231,,,,2.627938747406006,1.6574559211730957
03-26,0.37955033779144287,,0.9191579818725586,1.5731650590896606,1.4669771194458008,1.684235692024231,,,2.2492332458496094,2.70727276802063,2.076812267303467
03-27,,,0.9486182928085327,1.5771377086639404,1.4669771194458008,1.684235692024231,,2.1506991386413574,2.2492332458496094,2.7271060943603516,1.8970881700515747
03-28,,0.7156860828399658,0.9338880777359009,1.5771377086639404,1.5260498523712158,,1.3827840089797974,1.996599555015564,2.2492332458496094,2.6775224208831787,
03-29,0.37955033779144287,0.7195544838905334,0.9221042394638062,,,,1.3214507102966309,2.097099542617798,2.2492332458496094,2.6775224208831787,
03-30,0.3853451609611511,0.7156860828399658,0.9279962182044983,,,1.684235692024231,1.3883596658706665,2.0769991874694824,,,1.6374865770339966
03-31,0.39548569917678833,0.7214890122413635,,,1.5260498523712158,1.684235692024231,1.3772081136703491,2.036799192428589,,,1.6374865770339966
04-01,0.3896910846233368,0.7272918820381165,,1.5691924095153809,1.5211271047592163,1.6131477355957031,1.3270268440246582,,,2.7271060943603516,1.6774252653121948
04-02,,,0.9397804141044617,1.5334386825561523,1.5408179759979248,1.6186164617538452,,,2.2492332458496094,2.786606550216675,1.6774252653121948
04-03,,,0.9397804141044617,1.5254933834075928,1.5555862188339233,,,2.0099992752075195,2.222376585006714,2.7469396591186523,1.5675939321517944
04-04,,0.7292261719703674,0.9191579818725586,1.5533021688461304,1.5555862188339233,,1.3214507102966309,2.0099992752075195,2.2156624794006348,2.7568559646606445,
