,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10-02,,200.0,330.0,10.199999809265137,1.7999999523162842,,0.699999988079071,0.699999988079071,0.5,0.05000000074505806
10-03,31.0,200.0,300.0,10.199999809265137,,1.2999999523162842,0.699999988079071,0.699999988079071,0.5,
10-04,31.0,200.0,280.0,,,1.0,0.699999988079071,0.699999988079071,0.5,
10-05,31.0,200.0,,,2.0,1.0,1.0,0.699999988079071,,0.05000000074505806
10-06,31.0,,,10.199999809265137,2.0,1.0,1.0,,,0.05000000074505806
10-07,31.0,,280.0,10.199999809265137,1.7000000476837158,1.0,,,0.5,0.05000000074505806
10-08,,200.0,280.0,8.100000381469728,1.7000000476837158,,,0.699999988079071,0.5,0.5099999904632568
10-09,,200.0,300.0,8.100000381469728,1.7000000476837158,,1.0,0.699999988079071,0.5,0.5099999904632568
10-10,31.0,200.0,374.3999938964844,8.100000381469728,,1.0,1.0,0.699999988079071,0.25999999046325684,
10-11,31.0,200.0,350.0,,,1.0,0.699999988079071,0.699999988079071,0.25999999046325684,
10-12,31.0,200.0,,,2.0,1.0,0.699999988079071,0.699999988079071,,0.5099999904632568
10-13,31.0,,,8.100000381469728,2.0,1.0,0.699999988079071,,,0.5099999904632568
10-14,31.0,,330.0,8.100000381469728,2.0,1.5,,,0.26100000739097595,0.5099999904632568
10-15,,200.0,320.0,8.100000381469728,2.0,,,0.699999988079071,0.26100000739097595,0.5099999904632568
10-16,,200.0,330.0,8.0,2.700000047683716,,0.699999988079071,0.699999988079071,0.26100000739097595,0.5099999904632568
10-17,31.0,200.0,290.0,9.0,,1.5,0.699999988079071,0.699999988079071,0.26100000739097595,
10-18,31.0,200.0,340.0,,,1.5,0.699999988079071,0.699999988079071,0.26100000739097595,
10-19,31.0,200.0,,,2.0,1.0,0.699999988079071,0.699999988079071,,0.5099999904632568
10-20,31.0,,,9.5,2.0,1.0,0.699999988079071,,,0.5099999904632568
10-21,31.0,,300.0,9.5,2.0,1.0,,,0.26100000739097595,0.5099999904632568
10-22,,200.0,300.0,9.5,2.0,,,0.75,0.25999999046325684,0.5099999904632568
10-23,,200.0,290.0,9.0,2.0,,0.699999988079071,0.75,0.25999999046325684,0.5099999904632568
10-24,31.0,200.0,290.0,9.0,,1.399999976158142,0.699999988079071,0.75,0.25999999046325684,
10-25,31.0,200.0,290.0,,,1.399999976158142,0.699999988079071,0.75,0.25999999046325684,
10-26,31.0,200.0,,,2.5999999046325684,1.399999976158142,0.699999988079071,0.75,,0.2800000011920929
10-27,31.0,,,9.0,2.5999999046325684,1.399999976158142,0.699999988079071,,,0.2800000011920929
10-28,31.0,,300.0,9.5,2.5999999046325684,1.0,,,0.25999999046325684,0.2800000011920929
10-29,,,290.0,9.5,2.700000047683716,,,0.75,0.25999999046325684,0.2800000011920929
10-30,,,300.0,8.5,2.5,,0.699999988079071,0.75,0.25999999046325684,0.2800000011920929
10-31,31.0,200.0,286.0,8.5,,1.2000000476837158,0.699999988079071,0.75,0.25999999046325684,
11-01,31.0,200.0,280.0,,,1.2000000476837158,0.699999988079071,0.75,0.2899999916553497,
11-02,31.0,200.0,,,2.5,0.8999999761581421,0.699999988079071,0.75,,0.2800000011920929
11-03,31.0,,,8.5,2.5,0.8999999761581421,0.699999988079071,,,0.05000000074505806
11-04,31.0,,250.0,4.5,2.5,0.8999999761581421,,,0.2899999916553497,0.05000000074505806
11-05,,200.0,225.0,5.800000190734862,2.5999999046325684,,,0.75,0.2899999916553497,0.05000000074505806
11-06,,200.0,225.0,5.0,2.5999999046325684,,0.699999988079071,0.75,0.2899999916553497,0.05000000074505806
11-07,31.0,200.0,230.0,6.800000190734862,,0.8999999761581421,0.699999988079071,0.75,0.25999999046325684,
11-08,31.0,200.0,230.0,,,1.7000000476837158,0.699999988079071,0.75,0.25999999046325684,
11-09,31.0,200.0,,,2.5999999046325684,1.6000000238418581,0.699999988079071,0.75,,0.05000000074505806
11-10,31.0,,,4.5,2.5999999046325684,1.399999976158142,0.699999988079071,,,0.05000000074505806
11-11,31.0,,240.0,4.5,2.5999999046325684,1.399999976158142,,,0.25999999046325684,0.05000000074505806
11-12,,200.0,260.0,5.5,2.5,,,0.75,0.25999999046325684,
11-13,,200.0,300.0,5.300000190734863,2.5,,0.699999988079071,0.75,0.25999999046325684,
11-14,31.0,200.0,250.0,4.699999809265137,,1.399999976158142,0.699999988079071,0.75,0.25999999046325684,
11-15,31.0,200.0,280.0,,,1.399999976158142,0.699999988079071,0.75,0.25999999046325684,
11-16,31.0,200.0,,,2.5,1.399999976158142,0.699999988079071,0.75,,
11-17,31.0,,,3.0,2.5,1.399999976158142,1.399999976158142,,,
11-18,31.0,,250.0,2.5,2.5,1.5,,,0.25999999046325684,
11-19,,200.0,230.0,2.0,2.200000047683716,,,0.75,0.25999999046325684,
11-20,,200.0,230.0,1.7999999523162842,2.200000047683716,,1.399999976158142,0.75,0.25999999046325684,
11-21,31.0,200.0,230.0,2.5999999046325684,,1.399999976158142,0.6000000238418579,0.75,0.25999999046325684,
11-22,31.0,,210.0,,,1.399999976158142,0.6000000238418579,,0.25999999046325684,
11-23,31.0,200.0,,,2.5,1.399999976158142,,0.75,,
11-24,,,,2.5999999046325684,2.5,,0.6000000238418579,,,
11-25,31.0,,180.0,2.5999999046325684,2.900000095367432,1.399999976158142,,,0.25999999046325684,
11-26,,200.0,200.0,2.0,,,,0.75,0.25999999046325684,
11-27,,200.0,160.0,,2.900000095367432,,0.6000000238418579,0.75,0.25999999046325684,
11-28,31.0,200.0,,1.7999999523162842,,1.399999976158142,0.6000000238418579,0.75,,
11-29,31.0,200.0,160.0,,,1.399999976158142,0.699999988079071,0.75,0.25999999046325684,
11-30,31.0,200.0,,,2.5,1.399999976158142,0.6000000238418579,0.75,,
12-01,31.0,,,1.6000000238418581,2.5,1.399999976158142,0.699999988079071,,,
12-02,31.0,,160.0,1.6000000238418581,1.0,1.399999976158142,,,0.25999999046325684,
12-03,,200.0,190.0,1.6000000238418581,2.0,,,0.75,0.25999999046325684,
12-04,,200.0,170.0,1.6000000238418581,2.200000047683716,,2.799999952316284,0.75,0.25999999046325684,
12-05,31.0,200.0,160.0,1.7999999523162842,,1.5,2.200000047683716,,0.25999999046325684,
12-06,31.0,200.0,145.0,,,1.399999976158142,1.7999999523162842,0.75,0.25999999046325684,
12-07,31.0,200.0,,,2.299999952316284,1.399999976158142,1.7999999523162842,0.75,,
12-08,31.0,,,1.7999999523162842,2.299999952316284,1.399999976158142,1.6000000238418581,,,
12-09,31.0,,150.0,1.399999976158142,2.0999999046325684,1.399999976158142,,,0.25999999046325684,
12-10,,200.0,159.89999389648438,1.399999976158142,2.0999999046325684,,,0.75,0.25999999046325684,
12-11,,200.0,127.5,1.5,1.8999999761581419,,2.0,0.75,0.25999999046325684,
12-12,31.0,200.0,127.5,1.5,,1.399999976158142,1.100000023841858,0.75,0.25999999046325684,
12-13,31.0,200.0,134.0,,,1.100000023841858,1.100000023841858,0.75,0.25999999046325684,
12-14,31.0,200.0,,,1.8999999761581419,1.100000023841858,1.100000023841858,0.75,,
12-15,31.0,,,1.5,1.8999999761581419,1.0,1.100000023841858,,,
12-16,31.0,,120.0,1.5,2.299999952316284,1.0,,,0.25999999046325684,
12-17,,200.0,109.9000015258789,1.5,2.0999999046325684,,,0.75,0.25999999046325684,
12-18,,200.0,100.0,1.8999999761581419,1.7000000476837158,,1.100000023841858,0.75,0.25999999046325684,
12-19,31.0,200.0,100.0,1.7000000476837158,,1.0,1.2000000476837158,0.75,0.25999999046325684,
12-20,31.0,200.0,85.0,,,0.8999999761581421,1.100000023841858,0.75,0.25999999046325684,
12-21,31.0,200.0,,,1.8999999761581419,0.8999999761581421,2.200000047683716,0.75,,
12-22,31.0,,,1.7000000476837158,1.399999976158142,0.8999999761581421,2.5,,,
12-23,31.0,,80.0,1.7000000476837158,1.399999976158142,0.8999999761581421,,,0.25999999046325684,
12-24,,200.0,80.0,1.7000000476837158,1.399999976158142,,,0.75,0.25999999046325684,
12-26,,200.0,87.30000305175781,1.8999999761581419,,,2.299999952316284,0.75,0.25999999046325684,
12-27,31.0,200.0,87.30000305175781,,,0.8999999761581421,2.700000047683716,0.75,0.25999999046325684,
12-28,31.0,200.0,,,1.0,0.8999999761581421,2.5999999046325684,0.75,,
12-29,31.0,,,1.399999976158142,3.0,0.8999999761581421,2.5999999046325684,,,
12-30,31.0,,87.0,1.2999999523162842,3.0,0.8999999761581421,,,0.25999999046325684,
12-31,,200.0,90.0,1.2999999523162842,1.2000000476837158,,,0.75,0.25999999046325684,
