,2009,2013,2017,2018,2019,ups,downs,avg
07-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
07-31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-03,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
08-24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-27,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-28,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-29,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-30,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
08-31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-01,3.60360863475598,0.0,0.0,0.0,0.0,1.0,3.0,0.7207217269511961
09-03,2.72727446122603,0.0,0.0,0.0,0.0,1.0,3.0,0.5454548922452059
09-04,2.72727446122603,0.0,0.0,0.0,0.0,1.0,3.0,0.5454548922452059
09-05,2.72727446122603,0.0,0.0,0.0,0.0,1.0,3.0,0.5454548922452059
09-06,2.72727446122603,0.0,0.0,0.0,0.0,1.0,3.0,0.5454548922452059
09-07,6.956523397694463,0.0,0.0,0.0,0.0,1.0,3.0,1.3913046795388926
09-08,6.956523397694463,0.0,0.0,0.0,0.0,1.0,3.0,1.3913046795388926
09-09,6.956523397694463,0.0,0.0,0.0,0.0,1.0,3.0,1.3913046795388926
09-10,3.4782575524371606,0.0,0.0,0.0,0.0,1.0,3.0,0.6956515104874321
09-11,3.4782575524371606,0.0,0.0,0.0,0.0,1.0,3.0,0.6956515104874321
09-12,3.4782575524371606,0.0,0.0,0.0,0.0,1.0,3.0,0.6956515104874321
09-13,3.4782575524371606,0.0,0.0,0.0,0.0,1.0,3.0,0.6956515104874321
09-14,3.4782575524371606,0.0,0.0,0.0,0.0,1.0,3.0,0.6956515104874321
09-15,4.3478260869565215,0.0,0.0,0.0,0.0,1.0,3.0,0.8695652173913043
09-16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-19,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-20,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-21,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-22,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-23,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
09-27,3.571428571428571,0.0,0.0,0.0,0.0,1.0,3.0,0.7142857142857142
09-28,3.571428571428571,0.0,0.0,0.0,0.0,1.0,3.0,0.7142857142857142
09-29,6.896551724137931,0.0,0.0,0.0,0.0,1.0,3.0,1.379310344827586
09-30,6.896551724137931,0.0,0.0,0.0,0.0,1.0,3.0,1.379310344827586
10-01,12.331970563983873,0.0,0.0,0.0,0.0,1.0,3.0,2.466394112796775
10-02,9.08500651079809,0.0,0.0,0.0,0.0,1.0,3.0,1.817001302159618
10-03,9.08500651079809,0.0,0.0,0.0,0.0,1.0,3.0,1.817001302159618
10-04,18.958030048332397,0.0,0.0,0.0,0.0,1.0,3.0,3.7916060096664794
10-05,18.84999221118103,0.0,0.0,0.0,0.0,1.0,3.0,3.7699984422362056
10-06,18.84999221118103,0.0,0.0,0.0,0.0,1.0,3.0,3.7699984422362056
10-07,15.951777647294637,0.0,0.0,0.0,0.0,1.0,3.0,3.1903555294589276
10-08,15.951777647294637,0.0,0.0,0.0,0.0,1.0,3.0,3.1903555294589276
