symbol,company,price,ignore,ignore_error,start_yr,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
CWBB,Commonwealth Business Bank,$16.25 ,TRUE,'Date',,,,,
CWLO,Commonwealth Oil Refining Co. Inc,$9.00 ,TRUE,'Date',,,,,
CMSDF,CommSeed,$8.37 ,TRUE,No data fetched for symbol CMSDF using YahooDailyReader,,,,,
CFBN,Community 1st Bancorp,$8.00 ,TRUE,'Date',,,,,
CMYF,Community 1st Bank Post Falls Idaho,$15.17 ,TRUE,No data fetched for symbol CMYF using YahooDailyReader,,,,,
CYHT,Community Bank (Pasadena CA),$300.00 ,TRUE,No data fetched for symbol CYHT using YahooDailyReader,,,,,
CMTB,Community Bank of Bergen County,$26.60 ,TRUE,'Date',,,,,
CBKS,Community Bank of South Florida,$13.10 ,TRUE,'Date',,,,,
CFHW,Community First Bank Howard County Kokomo IN,$9.00 ,TRUE,No data fetched for symbol CFHW using YahooDailyReader,,,,,
CFSO,Community First Bank Somerset County New Jersey,$4.90 ,TRUE,'Date',,,,,
CMYS,Community Service Communications,$0.31 ,TRUE,'Date',,,,,
CMUY,Community Southern Bank,$11.57 ,TRUE,No data fetched for symbol CMUY using YahooDailyReader,,,,,
COB,CommunityOne Bancorp,$14.10 ,TRUE,'Date',,,,,
CBGEF,Compagnie Maritime Belge SA,$13.90 ,TRUE,No data fetched for symbol CBGEF using YahooDailyReader,,,,,
CMPCY,Compal Electronics Inc,$3.49 ,TRUE,No data fetched for symbol CMPCY using YahooDailyReader,,,,,
CSMQY,Compania de Saneamento de Minas Gerais - COPASA MG,$23.82 ,TRUE,No data fetched for symbol CSMQY using YahooDailyReader,,,,,
CUPDF,Compumedics Ltd,$0.16 ,TRUE,No data fetched for symbol CUPDF using YahooDailyReader,,,,,
CUUCF,Computacenter PLC,$10.78 ,TRUE,No data fetched for symbol CUUCF using YahooDailyReader,,,,,
CXGEF,Computer And Technologies Holdings Ltd,$0.33 ,TRUE,'Date',,,,,
CGII,Computer Graphics International Inc,$0.02 ,TRUE,'Date',,,,,
CNW,Con-way Inc,$47.55 ,TRUE,'Date',,,,,
NBZZF,Cona Resources Ltd,$1.99 ,TRUE,No data fetched for symbol NBZZF using YahooDailyReader,,,,,
CNAT,Conatus Pharmaceuticals Inc,$0.56 ,TRUE,No data fetched for symbol CNAT using YahooDailyReader,,,,,
CNIN,Conbraco Industries Inc,$168.00 ,TRUE,'Date',,,,,
CNDUF,Conduril - Engenharia SA,$77.10 ,TRUE,No data fetched for symbol CNDUF using YahooDailyReader,,,,,
CNRB,Congaree Bancshares Inc,$8.00 ,TRUE,No data fetched for symbol CNRB using YahooDailyReader,,,,,
CCHXF,ConjuChem Biotechnologies Inc,$1.29 ,TRUE,No data fetched for symbol CCHXF using YahooDailyReader,,,,,
CTWS,Connecticut Water Service Inc,$69.98 ,TRUE,No data fetched for symbol CTWS using YahooDailyReader,,,,,
CNNO,Connohio Inc,$1.01 ,TRUE,'Date',,,,,
CGEM,Consolidated Gems Inc,$0.02 ,TRUE,No data fetched for symbol CGEM using YahooDailyReader,,,,,
CSPT,Consolidated Plentech Electronics Inc,$0.01 ,TRUE,'Date',,,,,
CSRMF,Consort Medical PLC,$13.91 ,TRUE,No data fetched for symbol CSRMF using YahooDailyReader,,,,,
CSRMY,Consort Medical PLC,$10.80 ,TRUE,'Date',,,,,
CTCT,Constant Contact Inc,$32.01 ,TRUE,'Date',,,,,
STZ.B,Constellation Brands Inc,$199.20 ,TRUE,'Date',,,,,
CCPTF,Constellation Technologies Ltd,$0.01 ,TRUE,No data fetched for symbol CCPTF using YahooDailyReader,,,,,
CNSZF,Consultatio SA,$2.52 ,TRUE,No data fetched for symbol CNSZF using YahooDailyReader,,,,,
CNCK,Content Checked Holdings Inc,$0.05 ,TRUE,'Date',,,,,
CBPX,Continental Building Products Inc,$36.99 ,TRUE,No data fetched for symbol CBPX using YahooDailyReader,,,,,
CGFAF,Continental Coal Ltd,$0.03 ,TRUE,No data fetched for symbol CGFAF using YahooDailyReader,,,,,
CGOOF,Continental Gold Inc,$4.11 ,TRUE,No data fetched for symbol CGOOF using YahooDailyReader,,,,,
CUO,Continental Materials Corp,$8.63 ,TRUE,No data fetched for symbol CUO using YahooDailyReader,,,,,
CTLR,Continental Resources,$815.00 ,TRUE,No data fetched for symbol CTLR using YahooDailyReader,,,,,
DIGM,Control Chief Holdings Inc,$80.00 ,TRUE,No data fetched for symbol DIGM using YahooDailyReader,,,,,
CTRL,Control4 Corp,$23.91 ,TRUE,No data fetched for symbol CTRL using YahooDailyReader,,,,,
CDCUF,Controladora Comercial Mexicana SAB de CV,$1.75 ,TRUE,'Date',,,,,
CWRIF,Conwert Immobilien Invest SE,$20.65 ,TRUE,No data fetched for symbol CWRIF using YahooDailyReader,,,,,
CHWTY,Coolpad Group Ltd,$3.39 ,TRUE,No data fetched for symbol CHWTY using YahooDailyReader,,,,,
CPNCF,Copeinca ASA,$10.79 ,TRUE,No data fetched for symbol CPNCF using YahooDailyReader,,,,,
BVA,Cordia Bancorp Inc,$5.15 ,TRUE,'Date',,,,,
CKKFF,Cordy Oilfield Services Inc,$0.01 ,TRUE,No data fetched for symbol CKKFF using YahooDailyReader,,,,,
CGLDF,Core Gold Inc,$0.10 ,TRUE,No data fetched for symbol CGLDF using YahooDailyReader,,,,,
NASRY,Coreo AG,$0.16 ,TRUE,No data fetched for symbol NASRY using YahooDailyReader,,,,,
CRREF,Corero Network Security PLC,$0.10 ,TRUE,No data fetched for symbol CRREF using YahooDailyReader,,,,,
CVRS,Corindus Vascular Robotics Inc,$4.27 ,TRUE,No data fetched for symbol CVRS using YahooDailyReader,,,,,
CTOT,Cornerstone Bancorp,$11.65 ,TRUE,'Date',,,,,
CZRT,Cornerstone Bancorp Inc,$8.00 ,TRUE,No data fetched for symbol CZRT using YahooDailyReader,,,,,
CRNSF,Coronus Solar Inc,$0.02 ,TRUE,No data fetched for symbol CRNSF using YahooDailyReader,,,,,
CRPFY,Corporacion Financiera Colombiana SA,$8.83 ,TRUE,No data fetched for symbol CRPFY using YahooDailyReader,,,,,
CMZOF,Corporacion Moctezuma SAB de CV,$2.70 ,TRUE,No data fetched for symbol CMZOF using YahooDailyReader,,,,,
CPVBF,Corporativo GBM SAB de CV,$0.44 ,TRUE,No data fetched for symbol CPVBF using YahooDailyReader,,,,,
CRPVF,Corpovael SA de CV,$0.78 ,TRUE,No data fetched for symbol CRPVF using YahooDailyReader,,,,,
CORV,Correvio Pharma Corp,$0.42 ,TRUE,No data fetched for symbol CORV using YahooDailyReader,,,,,
CTPNF,Cortex Business Solutions Inc,$3.39 ,TRUE,No data fetched for symbol CTPNF using YahooDailyReader,,,,,
COTZ,Cortez Community Bank,$0.01 ,TRUE,No data fetched for symbol COTZ using YahooDailyReader,,,,,
CSDXY,COSCO SHIPPING Energy Transportation Co Ltd,$27.17 ,TRUE,'Date',,,,,
COIVF,COSCO Shipping International (Singapore) Co Ltd,$0.14 ,TRUE,No data fetched for symbol COIVF using YahooDailyReader,,,,,
COSN,CoSine Communications Inc,$4.38 ,TRUE,'Date',,,,,
CMOOF,Cosmo Oil Co Ltd,$1.35 ,TRUE,No data fetched for symbol CMOOF using YahooDailyReader,,,,,
CMOOY,Cosmo Oil Co Ltd,$6.54 ,TRUE,No data fetched for symbol CMOOY using YahooDailyReader,,,,,
CGRH,Cougar Holdings Inc,$0.25 ,TRUE,'Date',,,,,
CYHC,Country Bank Holding Co Inc,"$50,000.00 ",TRUE,No data fetched for symbol CYHC using YahooDailyReader,,,,,
CCSC,Country Style Cooking Restaurant Chain Co Ltd,$5.17 ,TRUE,'Date',,,,,
CBNC,County Bank Corp,$58.50 ,TRUE,No data fetched for symbol CBNC using YahooDailyReader,,,,,
CNYB,County Commerce Bank,$16.50 ,TRUE,'Date',,,,,
CUMD,County First Bank,$36.55 ,TRUE,'Date',,,,,
COVS,Covisint Corp,$2.45 ,TRUE,'Date',,,,,
CPL,CPFL Energia SA,$17.36 ,TRUE,No data fetched for symbol CPL using YahooDailyReader,,,,,
CPGPY,CPP Group PLC,$762.00 ,TRUE,No data fetched for symbol CPGPY using YahooDailyReader,,,,,
CGORF,CR Capital Corp,$0.05 ,TRUE,No data fetched for symbol CGORF using YahooDailyReader,,,,,
CREIY,CR2 Empreendimentos Imobiliarios SA,$34.98 ,TRUE,No data fetched for symbol CREIY using YahooDailyReader,,,,,
CRGWF,Craig Wireless Systems Ltd,$0.03 ,TRUE,No data fetched for symbol CRGWF using YahooDailyReader,,,,,
CRWRY,Craneware PLC,$70.20 ,TRUE,No data fetched for symbol CRWRY using YahooDailyReader,,,,,
CRD.A,Crawford & Co,$7.80 ,TRUE,No data fetched for symbol CRD.A using YahooDailyReader,,,,,
CRD.B,Crawford & Co,$7.98 ,TRUE,'Date',,,,,
CRAY,Cray Inc,$35.01 ,TRUE,No data fetched for symbol CRAY using YahooDailyReader,,,,,
CCAMF,Cr̩dit Agricole Nord de France,$21.18 ,TRUE,No data fetched for symbol CCAMF using YahooDailyReader,,,,,
CREJF,CRE Inc,$9.75 ,TRUE,No data fetched for symbol CREJF using YahooDailyReader,,,,,
RANFD,Cre8tive Works Inc,$0.07 ,TRUE,No data fetched for symbol RANFD using YahooDailyReader,,,,,
CDPEF,Credit Agricole Alpes Provence,$127.72 ,TRUE,No data fetched for symbol CDPEF using YahooDailyReader,,,,,
OPNVY,Crescent NV,$0.16 ,TRUE,'Date',,,,,
CRTHF,Crest Nicholson Holdings PLC,$4.59 ,TRUE,No data fetched for symbol CRTHF using YahooDailyReader,,,,,
CLEZF,Creston PLC,$1.85 ,TRUE,'Date',,,,,
EPCPF,Cricket Media Group Ltd,$0.11 ,TRUE,No data fetched for symbol EPCPF using YahooDailyReader,,,,,
CRIM,Crimson Forest Entertainment Group Inc,$0.12 ,TRUE,No data fetched for symbol CRIM using YahooDailyReader,,,,,
CRIUF,Crius Energy Trust,$6.71 ,TRUE,No data fetched for symbol CRIUF using YahooDailyReader,,,,,
CMWCF,Cromwell Property Group,$0.76 ,TRUE,No data fetched for symbol CMWCF using YahooDailyReader,,,,,
CRQZF,CROOZ Inc,$8.90 ,TRUE,No data fetched for symbol CRQZF using YahooDailyReader,,,,,
CPGSF,CropEnergies AG,$4.90 ,TRUE,'Date',,,,,
XRDC,Crossroads Capital Inc,$2.24 ,TRUE,'Date',,,,,
CRDSQ,Crossroads Systems Inc,$2.70 ,TRUE,'Date',,,,,
CMMBF,Crowd Media Holdings Ltd,$0.01 ,TRUE,No data fetched for symbol CMMBF using YahooDailyReader,,,,,
CACL,Crown Alliance Capital Ltd,$0.01 ,TRUE,No data fetched for symbol CACL using YahooDailyReader,,,,,
LEDCF,CRS Electronics Inc,$0.01 ,TRUE,No data fetched for symbol LEDCF using YahooDailyReader,,,,,
CUFHF,Crunchfish AB,$2.47 ,TRUE,No data fetched for symbol CUFHF using YahooDailyReader,,,,,
CYXTF,CryptoGlobal Corp,$0.20 ,TRUE,No data fetched for symbol CYXTF using YahooDailyReader,,,,,
EPMMF,Crystal Peak Minerals Inc,$0.40 ,TRUE,No data fetched for symbol EPMMF using YahooDailyReader,,,,,
CPSDF,CSI Properties Ltd,$0.05 ,TRUE,No data fetched for symbol CPSDF using YahooDailyReader,,,,,
CHPTY,CSPC Pharmaceutical Group Ltd,$101.08 ,TRUE,'Date',,,,,
CSS,CSS Industries Inc,$9.40 ,TRUE,No data fetched for symbol CSS using YahooDailyReader,,,,,
CST,CST Brands Inc,$48.53 ,TRUE,'Date',,,,,
CUCDF,CSU Cardsystem SA,$3.57 ,TRUE,No data fetched for symbol CUCDF using YahooDailyReader,,,,,
CTVMF,CT Environmental Group Ltd,$0.16 ,TRUE,No data fetched for symbol CTVMF using YahooDailyReader,,,,,
CTCM,CTC Media Inc,$2.05 ,TRUE,'Date',,,,,
CTIG,CTI Group Holdings Inc,$0.61 ,TRUE,'Date',,,,,
CUNB,CU Bancorp,$37.50 ,TRUE,'Date',,,,,
CUDEF,CuDeco Ltd,$1.05 ,TRUE,No data fetched for symbol CUDEF using YahooDailyReader,,,,,
CUEYY,Cue Energy Resources Ltd,$1.16 ,TRUE,No data fetched for symbol CUEYY using YahooDailyReader,,,,,
CUTEF,Culturecom Holdings Ltd,$0.11 ,TRUE,No data fetched for symbol CUTEF using YahooDailyReader,,,,,
CVCBF,CVC Brasil Operadora e Agencia de Viagens SA,$5.66 ,TRUE,No data fetched for symbol CVCBF using YahooDailyReader,,,,,
CXNSF,Cxense ASA,$0.83 ,TRUE,No data fetched for symbol CXNSF using YahooDailyReader,,,,,
CYLU,Cyalume Technologies Holdings Inc,$0.21 ,TRUE,'Date',,,,,
CYBOF,CybAero AB,$3.99 ,TRUE,'Date',,,,,
CGUNF,Cybergun SA,$0.38 ,TRUE,No data fetched for symbol CGUNF using YahooDailyReader,,,,,
CYLO,Cyclon Capital Corp,$0.01 ,TRUE,No data fetched for symbol CYLO using YahooDailyReader,,,,,
CYNA,Cynapsus Therapeutics Inc,$40.48 ,TRUE,'Date',,,,,
CYNO,Cynosure Inc,$66.00 ,TRUE,'Date',,,,,
CYPYF,Cypress Hills Resource Corp,$0.08 ,TRUE,No data fetched for symbol CYPYF using YahooDailyReader,,,,,
CY,Cypress Semiconductor Corp,$23.82 ,TRUE,No data fetched for symbol CY using YahooDailyReader,,,,,
COTXF,Cyprotex PLC,$1.54 ,TRUE,No data fetched for symbol COTXF using YahooDailyReader,,,,,
CYT,Cytec Industries Inc,$75.17 ,TRUE,'Date',,,,,
