,symbol,company,price,ignore,schedule,start_yr,ignore_error
720,APXG,Apextalk Holdings Inc,$0.10 ,TRUE,,,No data fetched for symbol APXG using YahooDailyReader
721,ATNY,API Technologies Corp,$2.00 ,TRUE,,,'Date'
722,APVVF,Apivio Systems Inc,$0.35 ,TRUE,,,No data fetched for symbol APVVF using YahooDailyReader
725,AOFEF,Apollo Consolidated Ltd,$0.14 ,TRUE,,,No data fetched for symbol AOFEF using YahooDailyReader
726,APOL,Apollo Education Group Inc,$10.00 ,TRUE,,,'Date'
728,MNGFF,Apollo Future Mobility Group Ltd,$0.06 ,TRUE,,,No data fetched for symbol MNGFF using YahooDailyReader
732,AMTG,Apollo Residential Mortgage Inc,$13.64 ,TRUE,,,'Date'
734,ASOE,Apollo Solar Energy Inc,$0.02 ,TRUE,,,No data fetched for symbol ASOE using YahooDailyReader
737,ADHLY,Applied Development Holdings Ltd,$0.65 ,TRUE,,,No data fetched for symbol ADHLY using YahooDailyReader
742,AMCC,Applied Micro Circuits Corp,$8.45 ,TRUE,,,'Date'
745,APRYF,APR Energy PLC,$2.37 ,TRUE,,,No data fetched for symbol APRYF using YahooDailyReader
746,APRYY,APR Energy PLC,$1.95 ,TRUE,,,No data fetched for symbol APRYY using YahooDailyReader
748,MOGHF,Aptitude Software Group PLC,$5.00 ,TRUE,,,No data fetched for symbol MOGHF using YahooDailyReader
751,APQUF,AQM Copper Inc,$0.17 ,TRUE,,,No data fetched for symbol APQUF using YahooDailyReader
752,AQBT,Aqua Bounty Technologies Inc,$0.30 ,TRUE,,,No data fetched for symbol AQBT using YahooDailyReader
753,AQPVF,Aqua-Pure Ventures Inc,$0.01 ,TRUE,,,'Date'
755,AQ,Aquantia Corp,$13.24 ,TRUE,,,No data fetched for symbol AQ using YahooDailyReader
756,AQPBF,Aquarius Platinum Ltd,$0.18 ,TRUE,,,'Date'
757,AQPTY,Aquarius Platinum Ltd,$0.34 ,TRUE,,,'Date'
758,WAAS,AquaVenture Holdings Ltd,$27.03 ,TRUE,,,No data fetched for symbol WAAS using YahooDailyReader
759,AQNM,Aquentium Inc,$0.01 ,TRUE,,,'Date'
761,ABPTY,Arab Potash Co Ltd,$10.68 ,TRUE,,,No data fetched for symbol ABPTY using YahooDailyReader
762,ARDZF,Arad Ltd,$13.70 ,TRUE,,,No data fetched for symbol ARDZF using YahooDailyReader
765,PETX,Aratana Therapeutics Inc,$4.92 ,TRUE,,,No data fetched for symbol PETX using YahooDailyReader
774,AMAVF,Arcam AB,$34.00 ,TRUE,,,No data fetched for symbol AMAVF using YahooDailyReader
775,ARZMY,Arcam AB,$34.50 ,TRUE,,,No data fetched for symbol ARZMY using YahooDailyReader
783,AXRSF,Archipelago Resources PLC,$0.90 ,TRUE,,,No data fetched for symbol AXRSF using YahooDailyReader
787,AXVSF,Arcland Service Holdings Co Ltd,$22.52 ,TRUE,,,No data fetched for symbol AXVSF using YahooDailyReader
789,ACAT,Arctic Cat Inc,$18.50 ,TRUE,,,'Date'
791,ARDLF,Ardent Leisure Group Ltd,$1.20 ,TRUE,,,No data fetched for symbol ARDLF using YahooDailyReader
792,AEVEF,Arena Events Group PLC,$2.27 ,TRUE,,,No data fetched for symbol AEVEF using YahooDailyReader
794,AZZBF,Arendals Fossekompani ASA,$254.06 ,TRUE,,,No data fetched for symbol AZZBF using YahooDailyReader
797,ARVCY,Areva SA,$0.49 ,TRUE,,,'Date'
799,AGXMF,Argentex Mining Corp,$0.08 ,TRUE,,,'Date'
801,ARGEF,Argex Titanium Inc,$0.02 ,TRUE,,,No data fetched for symbol ARGEF using YahooDailyReader
804,ARGGF,Argo Group Ltd,$0.22 ,TRUE,,,No data fetched for symbol ARGGF using YahooDailyReader
806,ARGSQ,Argos Therapeutics Inc,$0.05 ,TRUE,,,No data fetched for symbol ARGSQ using YahooDailyReader
809,ARIS,ARI Network Services Inc,$7.10 ,TRUE,,,'Date'
810,ARIA,ARIAD Pharmaceuticals Inc,$23.99 ,TRUE,,,'Date'
811,ADNOF,Ariadne Australia Ltd,$0.43 ,TRUE,,,No data fetched for symbol ADNOF using YahooDailyReader
813,ASWAY,Arisawa Mfg Co Ltd,$4.52 ,TRUE,,,No data fetched for symbol ASWAY using YahooDailyReader
816,WLDVF,Arizona Mining Inc,$4.70 ,TRUE,,,No data fetched for symbol WLDVF using YahooDailyReader
821,ARMHF,ARM Holdings PLC,$22.39 ,TRUE,,,'Date'
825,AMCO,Armco Metals Holdings Inc,$0.01 ,TRUE,,,No data fetched for symbol AMCO using YahooDailyReader
828,ANTOF,Arnest One Corp,$18.40 ,TRUE,,,No data fetched for symbol ANTOF using YahooDailyReader
829,RPTZF,ArPetrol Ltd,$0.41 ,TRUE,,,No data fetched for symbol RPTZF using YahooDailyReader
830,ARQL,Arqule Inc,$20.00 ,TRUE,,,No data fetched for symbol ARQL using YahooDailyReader
831,ARRI,Arrin Corp,$0.15 ,TRUE,,,No data fetched for symbol ARRI using YahooDailyReader
832,ARKCF,Arrk Corp,$0.75 ,TRUE,,,No data fetched for symbol ARKCF using YahooDailyReader
836,SGRSF,Arrow Minerals Ltd,$0.01 ,TRUE,,,No data fetched for symbol SGRSF using YahooDailyReader
844,AHFP,Artisanal Brands Inc,$0.03 ,TRUE,,,No data fetched for symbol AHFP using YahooDailyReader
845,ARTAF,Artmarket.com,$12.80 ,TRUE,,,No data fetched for symbol ARTAF using YahooDailyReader
847,AVTD,Artventive Medical Group Inc,$0.91 ,TRUE,,,'Date'
849,AEORF,AS Abwicklung und Solar-Service AG,$3.00 ,TRUE,,,No data fetched for symbol AEORF using YahooDailyReader
852,MWNAF,Asa Resource Group PLC,$0.01 ,TRUE,,,No data fetched for symbol MWNAF using YahooDailyReader
853,AHBCF,Asahi Broadcasting Group Holdings Corp,$6.23 ,TRUE,,,No data fetched for symbol AHBCF using YahooDailyReader
854,AAHIF,Asahi Co Ltd,$12.68 ,TRUE,,,'Date'
856,AHICF,Asahi Intecc Co Ltd,$63.28 ,TRUE,,,No data fetched for symbol AHICF using YahooDailyReader
857,SHKGF,Asahi Kagaku Kogyo Co Ltd,$3.10 ,TRUE,,,No data fetched for symbol SHKGF using YahooDailyReader
860,AASUF,Asatsu-DK Inc,$25.25 ,TRUE,,,'Date'
861,ASBB,ASB Bancorp Inc,$45.10 ,TRUE,,,'Date'
864,ASXXF,Ascendant Group Ltd,$6.05 ,TRUE,,,No data fetched for symbol ASXXF using YahooDailyReader
867,ASCMA,Ascent Capital Group Inc,$0.82 ,TRUE,,,No data fetched for symbol ASCMA using YahooDailyReader
868,ASCMB,Ascent Capital Group Inc,$2.05 ,TRUE,,,No data fetched for symbol ASCMB using YahooDailyReader
869,ACTPF,Ascent Resources PLC,$0.20 ,TRUE,,,No data fetched for symbol ACTPF using YahooDailyReader
870,AANOF,Asciano Ltd,$6.81 ,TRUE,,,No data fetched for symbol AANOF using YahooDailyReader
871,AIOYY,Asciano Ltd,$12.39 ,TRUE,,,No data fetched for symbol AIOYY using YahooDailyReader
874,ASKTF,Asetek A/S,$5.17 ,TRUE,,,No data fetched for symbol ASKTF using YahooDailyReader
875,ASFTF,ASF Group Ltd,$0.16 ,TRUE,,,No data fetched for symbol ASFTF using YahooDailyReader
877,GULSF,Ashanti Gold Corp,$0.04 ,TRUE,,,No data fetched for symbol GULSF using YahooDailyReader
882,AACEY,Asia Cement (China) Holdings Corp,$15.50 ,TRUE,,,No data fetched for symbol AACEY using YahooDailyReader
883,AMNTF,Asia Cement (China) Holdings Corp,$0.22 ,TRUE,,,No data fetched for symbol AMNTF using YahooDailyReader
884,CCLFF,Asia Pacific Digital Ltd,$0.01 ,TRUE,,,No data fetched for symbol CCLFF using YahooDailyReader
886,AISLF,Asia Satellite Telecommunications Holdings Ltd,$1.15 ,TRUE,,,No data fetched for symbol AISLF using YahooDailyReader
887,ASIBF,Asian Bamboo AG,$0.09 ,TRUE,,,No data fetched for symbol ASIBF using YahooDailyReader
888,ASIBY,Asian Bamboo AG,$0.14 ,TRUE,,,No data fetched for symbol ASIBY using YahooDailyReader
889,ACITF,Asian Citrus Holdings Ltd,$0.07 ,TRUE,,,No data fetched for symbol ACITF using YahooDailyReader
890,APLAF,Asian Plantations Ltd,$3.66 ,TRUE,,,No data fetched for symbol APLAF using YahooDailyReader
891,AISNY,Asian Terminals Inc,$27.00 ,TRUE,,,No data fetched for symbol AISNY using YahooDailyReader
892,ASKLF,ASKUL Corp,$19.05 ,TRUE,,,No data fetched for symbol ASKLF using YahooDailyReader
898,ASPPF,Aspiro AB,$0.15 ,TRUE,,,'Date'
904,NPYTF,Asset Plus Ltd,$0.39 ,TRUE,,,'Date'
909,ASORY,Assore Ltd,$0.58 ,TRUE,,,No data fetched for symbol ASORY using YahooDailyReader
913,ASTAF,ASTARTA Holding NV,$6.13 ,TRUE,,,No data fetched for symbol ASTAF using YahooDailyReader
914,ATEA,Astea International Inc,$11.95 ,TRUE,,,No data fetched for symbol ATEA using YahooDailyReader
918,AST,Asterias Biotherapeutics Inc,$0.95 ,TRUE,,,No data fetched for symbol AST using YahooDailyReader
919,ADARY,ASTM SpA,$0.04 ,TRUE,,,No data fetched for symbol ADARY using YahooDailyReader
920,ASTPF,ASTM SpA,$31.50 ,TRUE,,,No data fetched for symbol ASTPF using YahooDailyReader
924,AZNDF,AstraZeneca PLC,$72.15 ,TRUE,,,'Date'
926,ARPNF,Astro Japan Property Group,$4.15 ,TRUE,,,No data fetched for symbol ARPNF using YahooDailyReader
931,AUNRF,Asunaro Aoki Construction Co Ltd,$5.59 ,TRUE,,,No data fetched for symbol AUNRF using YahooDailyReader
933,AKCPF,Asustek Computer Inc,$8.16 ,TRUE,,,No data fetched for symbol AKCPF using YahooDailyReader
934,ASV,ASV Holdings Inc,$7.04 ,TRUE,,,No data fetched for symbol ASV using YahooDailyReader
941,ATMQF,Ateam Inc,$10.35 ,TRUE,,,No data fetched for symbol ATMQF using YahooDailyReader
944,GRTSF,Athena Investments A/S,$0.93 ,TRUE,,,No data fetched for symbol GRTSF using YahooDailyReader
947,WATKF,Atkins (WS) PLC,$26.17 ,TRUE,,,'Date'
952,ATCLY,Atlantic Carbon Group PLC,$2.00 ,TRUE,,,No data fetched for symbol ATCLY using YahooDailyReader
953,SPVEF,Atlantic Gold Corp,$2.18 ,TRUE,,,No data fetched for symbol SPVEF using YahooDailyReader
955,APBL,Atlantic Premium Brands Ltd,$0.02 ,TRUE,,,'Date'
961,AAOMF,Atlas Consolidated Mining & Development Corp,$0.04 ,TRUE,,,No data fetched for symbol AAOMF using YahooDailyReader
966,AGODY,Atlas Iron Ltd,$0.15 ,TRUE,,,No data fetched for symbol AGODY using YahooDailyReader
968,ARPJQ,Atlas Resource Partners LP,$0.01 ,TRUE,,,'Date'
969,ATLRF,Atlatsa Resources Corp,$0.05 ,TRUE,,,No data fetched for symbol ATLRF using YahooDailyReader
970,CPASF,ATMA Participacoes SA,$1.35 ,TRUE,,,No data fetched for symbol CPASF using YahooDailyReader
971,ATML,Atmel Corp,$8.14 ,TRUE,,,'Date'
974,ATOC,Atomic Paintball Inc,$0.40 ,TRUE,,,'Date'
977,ARMVF,Atrium Real Estate Investment Trust,$0.34 ,TRUE,,,No data fetched for symbol ARMVF using YahooDailyReader
978,ATRM,ATRM Holdings Inc,$0.22 ,TRUE,,,No data fetched for symbol ATRM using YahooDailyReader
980,ATIS,Attis Industries Inc,$0.10 ,TRUE,,,No data fetched for symbol ATIS using YahooDailyReader
981,ATTU,Attunity Ltd,$23.42 ,TRUE,,,No data fetched for symbol ATTU using YahooDailyReader
984,ABTPF,Aubay,$35.40 ,TRUE,,,No data fetched for symbol ABTPF using YahooDailyReader
989,BOLD,Audentes Therapeutics Inc,$59.97 ,TRUE,,,No data fetched for symbol BOLD using YahooDailyReader
990,ADPXF,Audio Pixels Holdings Ltd,$4.57 ,TRUE,,,No data fetched for symbol ADPXF using YahooDailyReader
992,AGPKF,Augros Cosmetics Packaging SA,$5.92 ,TRUE,,,No data fetched for symbol AGPKF using YahooDailyReader
993,AUGUF,Augustine Ventures Inc,$0.08 ,TRUE,,,No data fetched for symbol AUGUF using YahooDailyReader
994,AUPUF,AUPU Group Holding Co Ltd,$0.25 ,TRUE,,,No data fetched for symbol AUPUF using YahooDailyReader
995,AUEEF,Aura Energy Ltd,$0.01 ,TRUE,,,No data fetched for symbol AUEEF using YahooDailyReader
1002,AURZ,Aurios Inc,$0.07 ,TRUE,,,'Date'
1003,AZKHY,Aurizon Holdings Ltd,$15.01 ,TRUE,,,No data fetched for symbol AZKHY using YahooDailyReader
1004,AIAGF,Aurubis AG,$38.95 ,TRUE,,,No data fetched for symbol AIAGF using YahooDailyReader
1005,AURM,Aurum Inc,$0.05 ,TRUE,,,No data fetched for symbol AURM using YahooDailyReader
1006,AUEOF,Ausenco Ltd,$0.16 ,TRUE,,,No data fetched for symbol AUEOF using YahooDailyReader
1009,ATXDY,Austex Oil Ltd,$0.01 ,TRUE,,,No data fetched for symbol ATXDY using YahooDailyReader
1010,ATXDF,Austex Oil Ltd,$0.01 ,TRUE,,,No data fetched for symbol ATXDF using YahooDailyReader
1011,APGLF,Austpac Resources NL,$0.03 ,TRUE,,,No data fetched for symbol APGLF using YahooDailyReader
1012,AUAOF,Australand Property Group,$3.88 ,TRUE,,,No data fetched for symbol AUAOF using YahooDailyReader
1015,AAYYY,Australian Agricultural Co Ltd,$0.65 ,TRUE,,,No data fetched for symbol AAYYY using YahooDailyReader
1017,AHCLF,Australian Ethical Investment Ltd,$63.60 ,TRUE,,,No data fetched for symbol AHCLF using YahooDailyReader
1019,AZRTF,Australian Pacific Coal Ltd,$0.14 ,TRUE,,,No data fetched for symbol AZRTF using YahooDailyReader
1020,AEMAF,Australian Primary Hemp Ltd,$0.02 ,TRUE,,,'Date'
1030,AMTVF,Automotive Components Europe SA,$4.47 ,TRUE,,,No data fetched for symbol AMTVF using YahooDailyReader
1043,AVLRF,Avala Resources Ltd,$0.06 ,TRUE,,,No data fetched for symbol AVLRF using YahooDailyReader
1049,AVLH,Avalon Holding Group Inc,$0.50 ,TRUE,,,'Date'
1053,AGVYY,Avangardco Investments Public Ltd,$0.40 ,TRUE,,,No data fetched for symbol AGVYY using YahooDailyReader
1056,AVDX,Avant Diagnostics Inc,$0.03 ,TRUE,,,No data fetched for symbol AVDX using YahooDailyReader
1058,AVTS,Avante Systems Inc,$2.00 ,TRUE,,,No data fetched for symbol AVTS using YahooDailyReader
1059,AVNLF,Avanti Communications Group PLC,$0.02 ,TRUE,,,No data fetched for symbol AVNLF using YahooDailyReader
1062,AVTO,Avantogen Oncology Inc,$0.01 ,TRUE,,,No data fetched for symbol AVTO using YahooDailyReader
1066,AVSM,Avatar Systems Inc,$16.00 ,TRUE,,,No data fetched for symbol AVSM using YahooDailyReader
1070,AVEFF,Avecho Biotechnology Ltd,$0.01 ,TRUE,,,No data fetched for symbol AVEFF using YahooDailyReader
1071,PHNHF,Aveda Transportation and Energy Services Inc,$0.81 ,TRUE,,,No data fetched for symbol PHNHF using YahooDailyReader
1074,AVRW,Aventine Renewable Energy Holdings Inc,$18.00 ,TRUE,,,'Date'
1075,AVNU,Avenue Financial Holdings Inc,$19.65 ,TRUE,,,'Date'
1081,AVSS,Avesis Inc,$14.75 ,TRUE,,,'Date'
1085,AVEXF,Avex Group Holdings Inc,$10.80 ,TRUE,,,'Date'
1087,AVGTF,AVG Technologies NV,$26.05 ,TRUE,,,'Date'
1088,AVSFF,Avi Ltd,$6.68 ,TRUE,,,No data fetched for symbol AVSFF using YahooDailyReader
1092,AVCJF,AVIC Joy Holdings (HK) Ltd,$0.15 ,TRUE,,,No data fetched for symbol AVCJF using YahooDailyReader
1101,AIOCF,Avigilon Corp,$20.91 ,TRUE,,,No data fetched for symbol AIOCF using YahooDailyReader
1113,AVIXD,Avix Technologies Inc,$0.05 ,TRUE,,,No data fetched for symbol AVIXD using YahooDailyReader
1114,AQBKF,AVJennings Ltd,$0.38 ,TRUE,,,'Date'
1115,AVOGF,Avner Oil Exploration LP,$0.71 ,TRUE,,,No data fetched for symbol AVOGF using YahooDailyReader
1119,AVOL,Avolon Holdings Ltd,$30.93 ,TRUE,,,No data fetched for symbol AVOL using YahooDailyReader
1120,AVP,Avon Products Inc,$5.60 ,TRUE,,,No data fetched for symbol AVP using YahooDailyReader
1128,AVX,AVX Corp,$21.66 ,TRUE,,,No data fetched for symbol AVX using YahooDailyReader
1136,NCKKF,Axactor SE,$2.15 ,TRUE,,,No data fetched for symbol NCKKF using YahooDailyReader
1138,AXAR,Axar Acquisition Corp,$10.10 ,TRUE,,,'Date'
1144,AXFOY,Axfood AB,$20.12 ,TRUE,,,No data fetched for symbol AXFOY using YahooDailyReader
1145,AXANF,Axia Netmedia Corp,$3.20 ,TRUE,,,'Date'
1146,AXLL,Axiall Corp,$33.00 ,TRUE,,,'Date'
1164,AXTSY,Axtel SAB de CV,$0.80 ,TRUE,,,No data fetched for symbol AXTSY using YahooDailyReader
1165,AXTC,Axtive Corp,$0.01 ,TRUE,,,No data fetched for symbol AXTC using YahooDailyReader
1191,AZUMF,Azumah Resources Ltd,$0.01 ,TRUE,,,No data fetched for symbol AZUMF using YahooDailyReader
1192,MOKOF,Azure Health Technology Ltd,$0.01 ,TRUE,,,No data fetched for symbol MOKOF using YahooDailyReader
1194,ARCRF,Azure Healthcare Ltd,$0.10 ,TRUE,,,No data fetched for symbol ARCRF using YahooDailyReader
1196,AZURQ,Azure Midstream Partners LP,$0.03 ,TRUE,,,'Date'
