,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
02-27,68.18181787394296,-19.99999552965171,69.44444582418153,-15.384624201870851,2.8571401810159034,-33.33333806386084,0.0,-5.555550036607184,49.33333396911621,48.00000190734863,-20.000004768371586,5.0,6.0,13.049384286840276
02-28,68.18181787394296,-19.99999552965171,72.22222291209077,3.1746001710937146,-9.677419664956526,-20.930226110909274,0.0,-5.555550036607184,51.89873608731431,48.00000190734863,-84.21052549024036,5.0,6.0,9.373060192675029
02-29,0.0,0.0,69.8630146493516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.21052549024036,1.0,2.0,-1.3043191673535235
03-01,68.18181787394296,-19.99999552965171,72.22222291209077,-8.333325054910778,-6.250003492459732,-33.33333333333333,0.0,-5.555550036607184,51.89873608731431,47.916665502513425,-52.173907691454495,4.0,7.0,10.415757021585838
03-02,68.18181787394296,-19.99999552965171,71.23287836211013,-10.526316339839756,-9.677419664956526,-33.33333333333333,-21.739128744669838,-5.555550036607184,49.367089228377154,47.916665502513425,-52.173907691454495,4.0,7.0,7.608436329675528
03-03,69.56521781383253,-19.99999552965171,70.83333540293897,3.0769202554013266,-9.677419664956526,-33.33333333333333,-11.538462420187088,-5.555550036607184,49.367089228377154,-24.99999813735488,-52.173907691454495,4.0,7.0,3.2330814442731626
03-04,71.9999998807907,-19.99999552965171,73.07692292996883,3.0769202554013266,-12.903223015391266,-33.33333333333333,-19.230774521122516,-5.555550036607184,45.9459458370989,-24.99999813735488,-52.173907691454495,4.0,7.0,2.3548187853040363
03-05,68.18181787394296,-9.090907243657695,73.07692292996883,7.692300638503318,-4.6153895530476765,-29.99999329447756,-19.230774521122516,-5.555550036607184,45.9459458370989,-15.000000372529025,-20.000004768371586,4.0,7.0,8.309487953609159
03-06,66.6666654840348,-19.99999552965171,74.35897303638603,-13.207557779396224,-6.451616314521787,-23.809523133734164,-19.230774521122516,-5.555550036607184,45.9459458370989,17.857141716747872,-19.230774521122516,4.0,7.0,8.849357658010137
03-07,68.18181787394296,-19.99999552965171,72.72727290320144,-1.6949238156632322,-9.836065733954968,-37.50000093132256,-19.230774521122516,-5.555550036607184,45.9459458370989,20.689651451552983,-6.896555622182588,4.0,7.0,9.711892897753774
