,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
06-20,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-03,-0.03770099878311155
06-21,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-04,-0.03770099878311155
06-22,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-05,-0.03770099878311155
06-23,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-06,-0.03770099878311155
06-24,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-07,-0.03770099878311155
06-25,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-08,-0.03770099878311155
06-26,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-09,-0.03770099878311155
06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-10,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-11,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-12,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-13,0.04350100755691531
07-01,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-14,0.04350100755691531
07-02,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-15,0.04350100755691531
07-03,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-16,0.0386680006980896
07-05,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-18,0.0386680006980896
07-06,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-19,0.0386680006980896
07-07,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-20,0.0386680006980896
07-08,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-21,0.0386680006980896
07-09,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-22,0.0386680006980896
07-10,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-23,0.0386680006980896
07-11,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-24,0.0386680006980896
07-12,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-25,0.0386680006980896
07-13,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,09-26,0.08250200748443604
07-14,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,09-27,0.08250200748443604
07-15,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,09-28,0.08250200748443604
07-16,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,09-29,0.08250200748443604
07-17,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,09-30,0.08250200748443604
07-18,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.43834006786346436,0.0,0.0,0.0,2.0,8.0,10-01,0.08250200748443604
