,2019,2020,ups,downs,avg
08-29,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-30,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
08-31,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-01,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-02,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-03,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-04,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-05,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-06,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-08,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-09,0.7999992370605469,-2.5,1.0,1.0,-0.8500003814697266
09-10,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-11,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-12,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-13,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-14,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-15,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-16,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-17,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-18,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-19,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-20,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-21,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-22,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-23,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-24,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-25,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-26,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-27,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-28,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
09-29,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
