,2009,2010,2011,2012,2013,2020,ups,downs,end_day_sum,avg
10-21,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12-05,0.0003333333297632635
10-22,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12-06,0.0003333333297632635
10-23,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12-07,0.0003333333297632635
10-24,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12-08,0.0003333333297632635
10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-09,0.0
10-26,9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12-10,1.6666657757014107e-05
10-28,-0.0038999998942017555,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-12,-0.0006499999823669592
10-29,-0.0038999998942017555,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-13,-0.0006499999823669592
10-30,-0.0038999998942017555,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-14,-0.0006499999823669592
10-31,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-15,-0.00048333336599171135
11-01,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-16,-0.00048333336599171135
11-02,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-17,-0.00048333336599171135
11-04,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-19,-0.00048333336599171135
11-05,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-20,-0.00048333336599171135
11-06,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-21,-0.00048333336599171135
11-07,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-22,-0.00048333336599171135
11-08,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12-23,-0.00048333336599171135
11-09,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12-24,-0.00048333336599171135
11-11,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12-26,-0.00048333336599171135
11-12,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12-27,-0.00048333336599171135
11-13,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12-28,-0.00048333336599171135
11-14,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-29,-0.00048333336599171135
11-15,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-30,-0.00048333336599171135
11-16,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12-31,-0.00048333336599171135
11-17,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-01,-0.00048333336599171135
11-18,-0.002900000195950268,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-02,-0.00048333336599171135
11-19,-0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-03,-0.00031666667200624943
11-20,-0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-04,-0.00031666667200624943
11-21,9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-05,1.6666657757014107e-05
11-22,9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-06,1.6666657757014107e-05
11-23,9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-07,1.6666657757014107e-05
11-24,9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-08,1.6666657757014107e-05
11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-09,0.0
11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-10,0.0
11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-11,0.0
11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-12,0.0
11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-13,0.0
11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-14,0.0
12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-15,0.0
12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-16,0.0
12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-17,0.0
12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-18,0.0
12-05,0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-19,0.00031666667200624943
12-06,0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-20,0.00031666667200624943
12-07,0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-21,0.00031666667200624943
12-08,0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-22,0.00031666667200624943
12-09,0.0019000000320374966,0.0,0.0,0.0,0.0,0.0,1.0,4.0,01-23,0.00031666667200624943
12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01-24,0.0
12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-25,0.0
12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-26,0.0
12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-27,0.0
12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-28,0.0
12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-29,0.0
12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-30,0.0
12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01-31,0.0
12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-01,0.0
12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-02,0.0
12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-03,0.0
12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-04,0.0
12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-05,0.0
12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-06,0.0
12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-07,0.0
12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-09,0.0
12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-10,0.0
12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-11,0.0
12-29,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-12,-1.6666657757014107e-05
12-30,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-13,-1.6666657757014107e-05
12-31,-9.999994654208465e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02-14,-1.6666657757014107e-05
